Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
5/25/2011,9.5,16.7,1.2,,,50.0,20.0,20.0,58.0,52.0,1011.9,1011.7,,,13.3,15.5,Yes,0.0,No
8/27/2011,4.1,26.1,0.0,5.2,11.1,31.0,6.0,13.0,26.0,11.0,1023.4,1019.5,0.0,0.0,16.4,25.5,No,0.0,No
8/5/2011,7.9,15.5,0.0,,,35.0,11.0,9.0,57.0,60.0,1019.2,1018.7,7.0,8.0,11.6,12.2,No,2.4,Yes
4/6/2009,10.7,25.2,0.0,10.4,10.6,50.0,30.0,28.0,36.0,14.0,1021.0,1017.1,5.0,6.0,17.9,24.6,No,0.0,No
12/9/2011,14.6,21.0,2.0,,,24.0,15.0,9.0,75.0,56.0,,,,,18.1,20.4,Yes,1.4,Yes
5/12/2010,15.8,27.9,0.0,,,43.0,13.0,31.0,54.0,59.0,1014.7,1012.5,,,23.3,23.5,No,0.0,No
3/9/2011,21.5,25.4,28.0,7.0,0.0,44.0,17.0,20.0,95.0,95.0,1008.9,1007.0,7.0,8.0,21.8,22.5,Yes,4.2,Yes
5/24/2010,22.1,28.8,0.0,4.0,6.6,,15.0,17.0,70.0,64.0,1015.4,1012.3,3.0,6.0,26.0,27.4,No,0.0,No
8/29/2009,6.9,17.5,1.6,3.6,,,,,92.0,76.0,,,,,9.1,16.2,Yes,6.2,Yes
8/30/2011,3.7,16.2,0.0,3.4,7.0,37.0,2.0,19.0,78.0,37.0,1024.3,1021.6,7.0,,8.6,14.8,No,0.0,No
10/15/2009,6.9,10.7,4.0,,,59.0,33.0,26.0,97.0,77.0,1006.3,1008.8,7.0,8.0,7.3,8.1,Yes,2.8,Yes
6/17/2009,11.0,19.1,,,,63.0,15.0,30.0,74.0,64.0,1016.5,1012.2,,,15.5,17.8,,,
8/12/2011,5.8,17.7,2.4,,,35.0,17.0,11.0,86.0,52.0,1018.8,1018.4,,,13.4,17.4,Yes,0.2,No
5/13/2010,5.5,18.7,0.0,5.0,10.6,33.0,9.0,13.0,49.0,27.0,1025.4,1020.6,0.0,1.0,11.2,17.8,No,0.0,No
2/18/2009,22.2,35.4,0.0,9.4,12.5,31.0,9.0,17.0,25.0,17.0,1010.6,1007.6,,,28.0,34.3,No,0.0,No
6/10/2009,8.5,14.3,0.0,,,46.0,28.0,22.0,42.0,38.0,,,,,10.6,12.8,No,0.0,No
6/24/2009,8.0,15.6,5.6,1.6,5.4,57.0,11.0,13.0,78.0,64.0,1014.9,1012.2,7.0,3.0,10.1,15.6,Yes,0.0,No
11/28/2010,12.8,19.3,13.2,1.8,3.6,46.0,24.0,26.0,72.0,55.0,1015.1,1014.9,7.0,7.0,14.1,17.6,Yes,0.0,No
11/19/2008,16.8,25.1,0.0,5.2,1.1,,2.0,15.0,47.0,49.0,1007.6,1006.1,,,18.8,21.0,No,0.6,No
5/10/2009,22.8,33.4,0.0,6.8,7.6,46.0,15.0,22.0,65.0,40.0,1011.0,1008.4,1.0,3.0,27.1,32.8,No,0.0,No
12/24/2011,24.4,43.6,0.0,32.2,,52.0,28.0,11.0,13.0,9.0,1009.1,1005.8,0.0,,33.8,41.0,No,0.0,No
5/30/2009,1.6,14.3,0.2,1.4,9.1,37.0,0.0,13.0,98.0,76.0,1032.6,1030.9,,,5.7,14.1,No,0.0,No
4/21/2009,13.4,30.1,0.0,4.0,10.5,31.0,4.0,15.0,53.0,34.0,1009.4,1005.7,1.0,1.0,21.9,28.4,No,0.0,No
1/24/2009,23.0,41.0,0.0,,,69.0,20.0,35.0,51.0,23.0,1004.8,1002.6,,,32.6,40.5,No,0.0,No
12/10/2010,16.9,24.3,3.6,4.4,12.0,46.0,17.0,26.0,58.0,27.0,1010.9,1008.5,3.0,1.0,19.4,23.5,Yes,0.0,No
9/11/2009,13.4,19.8,14.8,2.0,5.1,81.0,37.0,35.0,62.0,91.0,1006.4,1006.4,4.0,8.0,17.5,15.0,Yes,12.8,Yes
6/28/2011,6.7,17.1,0.0,1.2,9.2,33.0,11.0,13.0,58.0,41.0,1032.5,1029.2,,,12.4,16.5,No,0.0,No
7/5/2009,9.8,15.8,0.0,3.0,9.8,41.0,20.0,19.0,50.0,40.0,1016.3,1016.1,2.0,1.0,13.5,15.5,No,0.0,No
2/10/2009,19.3,28.1,0.0,16.0,7.4,46.0,19.0,24.0,26.0,14.0,1010.2,1008.8,7.0,4.0,19.6,24.9,No,0.0,No
1/30/2011,18.1,28.5,0.0,,,43.0,20.0,31.0,68.0,66.0,1020.1,1017.1,,,23.9,26.6,No,0.0,No
1/9/2009,17.2,22.6,0.4,7.6,5.9,,22.0,19.0,54.0,47.0,1020.2,1018.8,7.0,6.0,19.2,21.2,No,0.0,No
11/3/2008,14.6,18.3,2.8,6.6,0.2,56.0,31.0,31.0,72.0,73.0,1014.2,1015.7,8.0,7.0,15.7,16.4,Yes,2.0,Yes
3/16/2010,13.3,27.8,0.0,4.2,,30.0,2.0,13.0,92.0,38.0,1024.0,1022.1,,,17.4,27.5,No,0.0,No
1/29/2009,26.9,42.5,0.0,15.2,10.9,48.0,15.0,15.0,17.0,9.0,1010.7,1008.5,3.0,3.0,34.9,41.4,No,0.0,No
1/19/2010,8.7,25.2,0.0,,,50.0,6.0,30.0,47.0,27.0,1011.5,1009.7,,,15.0,23.8,No,0.0,No
7/13/2009,-1.5,-0.6,1.0,,,67.0,30.0,26.0,94.0,95.0,,,,,-1.1,-1.0,No,12.6,Yes
11/17/2010,9.6,25.8,0.0,4.6,12.1,33.0,11.0,13.0,62.0,30.0,1018.6,1016.0,0.0,2.0,15.2,24.1,No,0.0,No
2/21/2009,13.7,31.7,0.0,,,28.0,2.0,9.0,63.0,19.0,1012.5,1010.4,,,19.3,29.8,No,0.0,No
8/24/2011,9.2,20.6,0.0,3.8,10.0,41.0,15.0,20.0,72.0,48.0,1026.4,1022.1,,,12.2,20.4,No,0.0,No
8/3/2010,15.8,20.8,7.0,2.4,0.8,50.0,15.0,26.0,90.0,74.0,1014.4,1010.9,8.0,8.0,17.3,19.9,Yes,21.0,Yes
3/28/2010,12.3,28.5,0.0,,,22.0,0.0,11.0,86.0,45.0,1019.0,1014.2,,,15.9,27.2,No,5.8,Yes
2/10/2011,20.5,28.8,2.0,,,48.0,33.0,30.0,74.0,61.0,1020.6,1018.4,,,24.5,27.2,Yes,1.8,Yes
2/11/2011,17.0,20.4,0.6,4.0,3.8,,22.0,22.0,89.0,71.0,1023.8,1023.2,7.0,7.0,18.1,19.6,No,3.6,Yes
1/18/2012,22.0,26.0,0.8,15.8,10.6,43.0,13.0,17.0,61.0,57.0,1014.1,1015.2,6.0,5.0,23.3,25.0,No,0.2,No
8/5/2011,11.3,25.2,0.0,5.4,10.1,33.0,6.0,20.0,66.0,30.0,1025.4,1021.8,,,13.9,24.7,No,0.0,No
11/19/2009,22.7,40.4,0.0,16.4,12.8,44.0,28.0,11.0,52.0,17.0,1011.8,1007.7,0.0,1.0,27.4,37.9,No,0.0,No
4/3/2009,19.2,31.7,0.4,5.4,9.4,35.0,19.0,13.0,59.0,36.0,1018.2,1014.1,4.0,6.0,24.0,31.5,No,0.0,No
9/24/2009,14.4,22.4,0.0,,,57.0,19.0,26.0,39.0,29.0,1011.6,1010.5,,,18.2,20.9,No,0.0,No
2/26/2011,23.6,30.6,11.6,1.6,7.8,44.0,13.0,28.0,81.0,60.0,1010.3,1007.6,7.0,7.0,26.7,29.3,Yes,0.0,No
12/13/2008,15.9,18.6,15.6,,,61.0,28.0,28.0,76.0,93.0,994.3,993.0,8.0,8.0,17.4,15.8,Yes,3.6,Yes
11/19/2011,17.6,35.1,0.0,,,33.0,0.0,19.0,93.0,37.0,1015.6,1009.5,,,19.8,33.5,No,0.0,No
11/7/2011,11.9,19.8,0.0,7.4,7.7,50.0,9.0,20.0,53.0,51.0,1010.5,1010.4,,,16.0,19.2,No,1.2,Yes
9/14/2010,3.5,14.8,0.8,2.0,10.3,46.0,24.0,19.0,58.0,39.0,1014.0,1008.5,2.0,3.0,8.7,14.4,No,0.0,No
3/1/2011,12.6,20.0,0.0,6.4,8.9,43.0,11.0,22.0,69.0,49.0,1015.9,1016.5,7.0,6.0,15.2,18.6,No,0.0,No
7/26/2009,-1.0,11.0,0.0,1.6,1.2,43.0,6.0,20.0,86.0,79.0,1018.5,1014.2,7.0,8.0,4.8,8.9,No,6.2,Yes
12/12/2010,13.2,23.8,0.0,5.8,13.3,43.0,17.0,20.0,55.0,33.0,1009.5,1009.2,6.0,6.0,17.0,21.7,No,0.0,No
7/31/2009,9.2,17.0,0.2,2.4,4.8,,11.0,7.0,94.0,47.0,1029.2,1026.9,5.0,7.0,10.3,15.6,No,0.0,No
5/9/2010,21.3,28.5,0.4,5.4,6.0,,19.0,24.0,73.0,71.0,1013.0,1010.4,6.0,6.0,24.5,25.2,No,0.4,No
6/15/2011,12.5,25.0,0.0,6.4,10.7,31.0,15.0,17.0,46.0,44.0,1018.2,1014.1,3.0,4.0,20.1,23.9,No,0.0,No
2/12/2009,17.5,22.0,0.6,4.0,1.1,,19.0,31.0,76.0,56.0,1017.5,1018.7,7.0,8.0,18.9,21.4,No,23.2,Yes
1/12/2009,18.7,26.8,1.2,8.8,11.4,,7.0,15.0,71.0,61.0,1015.4,1016.4,1.0,6.0,23.2,25.6,Yes,0.2,No
7/11/2011,-6.5,-2.0,4.6,,,57.0,26.0,,95.0,,,,,,-5.3,,Yes,0.0,No
1/6/2010,11.0,24.9,0.0,,,43.0,15.0,13.0,48.0,26.0,1014.4,1012.6,,,17.2,23.3,No,0.0,No
10/30/2009,16.3,36.2,0.0,10.0,12.5,39.0,15.0,13.0,19.0,10.0,1014.7,1011.2,0.0,0.0,29.1,34.8,No,0.0,No
1/20/2012,16.5,30.4,0.0,10.4,6.9,37.0,15.0,11.0,57.0,30.0,1015.3,1013.3,7.0,3.0,19.7,29.1,No,0.0,No
1/6/2011,14.6,34.7,0.0,6.6,10.1,43.0,17.0,17.0,42.0,14.0,1008.5,1004.2,6.0,6.0,21.6,34.1,No,0.0,No
11/30/2010,12.2,17.5,0.0,3.6,3.1,56.0,31.0,30.0,69.0,72.0,1019.7,1018.1,7.0,7.0,14.5,16.4,No,0.0,No
3/30/2009,13.4,30.4,0.0,,,22.0,0.0,9.0,57.0,16.0,1023.0,1019.5,,,17.2,29.2,No,0.0,No
1/11/2012,23.0,37.0,0.0,7.6,11.9,33.0,9.0,11.0,37.0,16.0,1007.3,1003.1,7.0,5.0,31.5,36.3,No,0.0,No
11/3/2010,15.3,37.3,0.0,10.2,12.2,43.0,28.0,24.0,11.0,7.0,1016.5,1012.0,1.0,1.0,30.3,36.3,No,0.0,No
8/22/2010,7.1,11.6,0.4,4.2,9.5,44.0,7.0,24.0,80.0,94.0,1019.1,1014.2,8.0,8.0,8.7,10.1,No,8.8,Yes
7/14/2011,4.4,13.3,1.8,1.2,6.8,31.0,19.0,13.0,88.0,48.0,1028.3,1030.1,3.0,4.0,7.4,13.0,Yes,0.0,No
11/28/2010,10.6,15.0,11.0,3.6,6.6,46.0,22.0,24.0,54.0,67.0,1018.6,1019.6,7.0,8.0,11.7,13.4,Yes,0.4,No
2/19/2011,15.7,19.7,38.4,3.0,3.6,70.0,41.0,31.0,,78.0,999.3,1006.6,8.0,5.0,,19.5,Yes,2.2,Yes
2/11/2009,13.5,26.7,0.0,,,46.0,19.0,11.0,45.0,24.0,1012.8,1011.1,,,16.7,24.9,No,0.0,No
9/19/2009,9.0,19.9,0.0,,,43.0,7.0,22.0,85.0,36.0,1018.5,1013.5,,,10.7,19.1,No,0.0,No
4/23/2009,19.2,30.2,0.0,7.4,11.3,44.0,22.0,24.0,57.0,51.0,1013.9,1011.0,1.0,2.0,25.9,29.1,No,0.0,No
9/9/2009,10.9,19.8,1.6,3.2,6.2,39.0,9.0,20.0,94.0,70.0,1015.5,1012.9,8.0,6.0,14.0,17.2,Yes,0.4,No
11/13/2009,14.0,27.6,0.6,,,41.0,19.0,7.0,57.0,35.0,1019.9,1016.1,,,18.4,25.7,No,0.0,No
7/18/2011,4.5,9.9,0.8,,,30.0,15.0,4.0,98.0,95.0,1018.3,1017.5,8.0,4.0,4.8,8.7,No,2.0,Yes
4/29/2010,10.6,15.6,5.8,1.2,4.1,39.0,11.0,19.0,94.0,79.0,1022.3,1023.1,,,12.7,14.3,Yes,0.2,No
2/25/2009,20.4,27.9,0.0,7.0,1.5,22.0,6.0,11.0,70.0,64.0,1016.8,1014.0,7.0,7.0,25.3,26.7,No,0.0,No
1/10/2009,12.0,29.4,0.0,7.6,13.1,41.0,13.0,9.0,43.0,15.0,1012.1,1008.9,1.0,,18.4,27.8,No,0.0,No
3/15/2009,7.6,15.6,16.4,,,56.0,26.0,28.0,87.0,57.0,1011.4,1010.4,3.0,1.0,9.4,14.3,Yes,1.0,No
9/11/2009,3.7,17.2,0.0,3.0,6.1,57.0,19.0,26.0,75.0,41.0,1014.2,1006.7,1.0,7.0,7.5,16.2,No,3.2,Yes
10/7/2009,8.0,28.5,0.0,9.0,11.9,54.0,13.0,20.0,11.0,6.0,1019.6,1016.2,3.0,0.0,21.9,27.5,No,0.0,No
7/16/2011,7.5,16.3,9.0,1.4,4.4,26.0,13.0,17.0,94.0,62.0,1031.7,1027.7,,,10.4,14.8,Yes,2.2,Yes
9/17/2009,12.5,15.7,7.8,2.2,6.0,48.0,24.0,28.0,96.0,63.0,1014.8,1017.9,8.0,6.0,13.0,15.1,Yes,0.0,No
12/9/2010,13.0,17.9,2.8,,,31.0,11.0,15.0,63.0,52.0,1024.8,1024.9,,,15.1,17.3,Yes,0.0,No
2/15/2011,21.4,29.7,0.0,8.6,,37.0,7.0,2.0,67.0,76.0,1017.6,1015.7,6.0,7.0,27.6,26.9,No,21.0,Yes
12/28/2008,21.3,28.9,20.0,,,50.0,17.0,28.0,84.0,66.0,1009.2,1005.9,,,23.3,27.4,Yes,22.8,Yes
3/18/2009,8.6,22.2,0.0,4.0,,39.0,2.0,11.0,90.0,55.0,1014.6,1011.9,,,11.3,21.0,No,0.0,No
4/3/2009,13.5,28.3,0.0,5.6,10.8,35.0,13.0,9.0,58.0,29.0,1027.8,1024.3,1.0,0.0,17.8,28.1,No,0.0,No
3/21/2011,15.3,19.8,9.4,2.6,0.0,31.0,9.0,17.0,99.0,97.0,1005.8,1004.5,,,17.6,19.6,Yes,8.0,Yes
8/25/2011,4.6,17.7,0.0,,10.4,,15.0,9.0,66.0,46.0,1029.2,1025.7,3.0,3.0,12.3,17.3,No,0.0,No
3/16/2010,15.0,26.2,0.0,,,,0.0,4.0,86.0,48.0,,,2.0,2.0,20.0,24.8,No,0.0,No
5/15/2009,7.5,19.0,0.0,1.8,9.3,,0.0,9.0,87.0,62.0,1024.7,1021.2,1.0,1.0,11.0,18.5,No,0.0,No
12/5/2010,23.6,32.2,0.0,6.2,11.0,22.0,7.0,17.0,69.0,67.0,1007.8,1003.9,1.0,1.0,29.6,30.9,No,0.0,No
3/15/2009,19.3,24.5,0.0,3.6,9.5,37.0,19.0,22.0,73.0,59.0,1016.9,1015.0,5.0,1.0,21.2,23.4,No,0.0,No
7/21/2011,14.3,20.5,0.0,4.4,9.8,57.0,30.0,28.0,47.0,40.0,1010.3,1007.7,1.0,2.0,17.2,19.7,No,0.4,No
1/17/2010,10.5,20.9,0.0,11.4,9.3,69.0,24.0,39.0,52.0,29.0,1009.8,1008.9,3.0,7.0,16.3,18.8,No,0.8,No
7/31/2011,10.5,17.4,3.0,3.0,4.8,,13.0,15.0,83.0,73.0,999.5,1002.3,7.0,7.0,13.0,12.9,Yes,6.4,Yes
12/25/2010,14.2,30.3,0.0,7.8,6.1,30.0,9.0,11.0,46.0,22.0,1013.0,1009.6,7.0,5.0,20.6,30.2,No,0.0,No
12/11/2010,11.2,32.8,0.0,,12.2,50.0,19.0,11.0,38.0,14.0,1015.7,1009.8,,,22.7,32.3,No,0.0,No
3/29/2009,12.8,27.2,0.0,,,28.0,0.0,11.0,79.0,39.0,,,,,17.0,26.5,No,0.0,No
3/25/2010,10.0,24.1,0.0,,,50.0,6.0,24.0,98.0,56.0,1017.1,1014.0,,,12.4,23.0,No,0.0,No
2/4/2011,22.5,33.7,0.0,12.0,10.8,37.0,6.0,24.0,74.0,59.0,1015.2,1011.9,4.0,2.0,27.0,31.5,No,0.0,No
4/16/2009,20.2,23.7,0.0,5.4,1.7,54.0,31.0,33.0,65.0,78.0,1014.6,1011.1,8.0,8.0,21.9,22.0,No,5.8,Yes
1/6/2012,5.3,26.0,0.0,6.2,10.1,37.0,13.0,19.0,54.0,23.0,1019.5,1013.3,2.0,7.0,17.0,24.1,No,0.4,No
3/23/2008,12.8,24.9,0.0,2.4,6.2,30.0,6.0,7.0,76.0,44.0,1023.2,1019.3,7.0,6.0,15.5,24.2,No,0.6,No
6/25/2011,10.5,17.6,18.6,4.2,7.8,,7.0,2.0,82.0,68.0,1012.3,1015.0,2.0,2.0,12.0,16.2,Yes,0.0,No
2/4/2009,14.6,34.7,0.0,,,39.0,13.0,13.0,70.0,11.0,1008.4,1005.6,2.0,,19.0,33.0,No,0.0,No
2/21/2009,16.8,26.4,0.0,,12.0,41.0,13.0,19.0,55.0,37.0,1020.6,1017.6,,,19.1,25.3,No,0.0,No
12/18/2010,14.2,18.3,0.0,6.2,9.4,,13.0,19.0,64.0,64.0,1017.5,1015.9,7.0,6.0,16.0,17.6,No,1.0,No
11/14/2011,16.6,38.7,0.0,,,59.0,2.0,22.0,97.0,23.0,,,,,19.6,36.3,No,0.0,No
2/6/2010,19.5,25.2,21.8,,,46.0,15.0,,85.0,,1016.8,,,,21.2,,Yes,25.6,Yes
5/13/2010,8.8,19.4,0.0,,,31.0,11.0,20.0,46.0,50.0,1018.7,1015.7,,,14.4,19.2,No,0.0,No
5/11/2009,7.2,19.8,0.0,5.4,9.8,24.0,0.0,11.0,68.0,45.0,1025.1,1022.8,,,13.8,19.1,No,0.0,No
12/9/2011,14.6,26.9,0.0,9.2,6.1,35.0,20.0,11.0,66.0,64.0,1012.3,1010.3,,,18.3,22.3,No,9.4,Yes
12/15/2009,9.7,31.6,0.0,6.0,12.9,20.0,4.0,15.0,76.0,29.0,1020.8,1016.5,2.0,0.0,16.6,29.4,No,0.0,No
10/30/2010,16.6,26.5,0.0,4.6,11.7,26.0,9.0,9.0,56.0,56.0,1019.0,1016.0,3.0,6.0,23.9,24.2,No,0.0,No
2/5/2010,21.7,29.3,26.4,2.2,,33.0,0.0,19.0,87.0,72.0,1010.3,1008.2,,,24.6,27.7,Yes,17.2,Yes
10/3/2010,4.3,23.2,0.2,3.2,10.4,41.0,15.0,22.0,90.0,43.0,1024.8,1021.1,0.0,1.0,11.4,22.6,No,0.4,No
8/2/2010,6.9,15.7,0.2,,,63.0,11.0,20.0,47.0,41.0,,,,,11.8,15.2,No,6.0,Yes
5/6/2011,9.3,14.7,0.0,1.6,4.1,19.0,13.0,7.0,71.0,55.0,1025.6,1022.4,7.0,6.0,11.0,14.6,No,0.0,No
6/13/2011,11.7,16.1,3.0,,,63.0,33.0,33.0,89.0,73.0,,1022.8,8.0,4.0,14.4,15.9,Yes,17.4,Yes
7/19/2010,6.3,17.8,0.1,,,,2.0,0.0,90.0,61.0,,,6.0,7.0,9.8,16.4,No,0.1,No
8/10/2011,1.6,18.3,0.0,,,35.0,2.0,22.0,88.0,35.0,,,,,7.8,16.1,No,0.0,No
5/20/2010,8.0,17.5,0.0,1.2,0.0,13.0,4.0,7.0,62.0,39.0,1022.7,1020.5,7.0,6.0,12.7,17.1,No,0.0,No
9/1/2011,3.8,14.8,0.0,,,30.0,17.0,19.0,99.0,64.0,1027.1,1024.5,6.0,,8.1,14.1,No,0.2,No
12/24/2011,12.8,31.1,0.0,,,39.0,20.0,26.0,50.0,50.0,1011.0,1009.1,2.0,,24.5,27.8,No,3.8,Yes
11/18/2011,23.3,32.9,30.6,7.0,11.3,28.0,9.0,15.0,71.0,51.0,1010.8,1006.1,6.0,2.0,28.7,32.1,Yes,0.8,No
9/29/2010,-1.0,14.3,0.2,2.2,,43.0,20.0,20.0,56.0,41.0,1023.9,1023.0,1.0,4.0,8.6,12.2,No,0.2,No
6/20/2010,10.4,17.4,,,,22.0,7.0,7.0,66.0,54.0,1025.1,1024.3,,,13.6,16.5,,0.8,No
1/11/2012,20.0,35.0,0.0,,13.1,59.0,31.0,19.0,32.0,13.0,1015.4,1011.5,,,26.7,34.8,No,,
6/11/2009,7.6,16.5,0.0,5.0,10.0,35.0,17.0,13.0,49.0,30.0,1021.8,1018.9,0.0,0.0,10.7,16.2,No,0.0,No
8/2/2010,3.5,20.8,0.0,,,46.0,9.0,22.0,86.0,59.0,1029.9,1027.6,,,13.9,20.5,No,0.0,No
12/8/2009,10.7,17.8,0.0,5.4,10.4,,6.0,20.0,59.0,69.0,1024.2,1021.2,6.0,8.0,16.2,16.4,No,1.4,Yes
5/24/2009,12.6,18.9,0.0,1.8,3.5,44.0,20.0,28.0,71.0,54.0,1025.9,1023.7,6.0,7.0,14.0,17.8,No,0.0,No
